GameIndex,White_ACPL,Black_ACPL,White,Black
190,6670.71,6975.84,Lc0,NNUE
191,3905.0,3584.35,NNUE,Lc0
192,4750.17,4803.73,Stockfish,Lc0
193,1454.24,1105.79,Lc0,Stockfish
194,3017.71,3463.42,Stockfish,NNUE
195,5494.67,5331.26,NNUE,Stockfish
196,3086.06,3645.61,Lc0,NNUE
197,5545.18,5565.48,NNUE,Lc0
198,85.67,91.46,Stockfish,Lc0
199,5433.05,5321.95,Lc0,Stockfish
200,364.43,1078.36,Stockfish,NNUE
201,5468.7,5216.47,NNUE,Stockfish
202,3577.28,4128.78,Lc0,NNUE
203,3002.06,2576.69,NNUE,Lc0
204,3021.17,3316.29,Stockfish,Lc0
205,3179.11,3041.0,Lc0,Stockfish
206,354.36,1069.71,Stockfish,NNUE
207,2353.82,1901.94,NNUE,Stockfish
208,5960.91,6342.0,Lc0,NNUE
209,6357.29,6172.94,NNUE,Lc0
210,1533.78,1734.98,Stockfish,Lc0
211,2232.26,1941.42,Lc0,Stockfish
212,3159.8,3839.04,Stockfish,NNUE
213,4316.26,4101.17,NNUE,Stockfish
214,2965.72,3504.83,Lc0,NNUE
215,5382.86,5147.85,NNUE,Lc0
216,1537.24,2021.03,Stockfish,Lc0
217,4645.12,4530.72,Lc0,Stockfish
218,3688.9,4202.95,Stockfish,NNUE
219,6089.69,6111.6,NNUE,Stockfish
220,3102.0,3653.11,Lc0,NNUE
221,7085.56,7027.0,NNUE,Lc0
222,4272.43,4472.89,Stockfish,Lc0
223,3746.83,3692.25,Lc0,Stockfish
224,4662.0,4919.04,Stockfish,NNUE
225,7011.31,6888.79,NNUE,Stockfish
226,5998.04,6432.57,Lc0,NNUE
227,3825.06,3531.82,NNUE,Lc0
228,2708.56,2896.56,Stockfish,Lc0
229,4575.84,4486.25,Lc0,Stockfish
230,3733.12,3681.88,Stockfish,NNUE
231,4580.53,4261.39,NNUE,Stockfish
232,3498.83,3695.44,Lc0,NNUE
233,6848.38,6806.52,NNUE,Lc0
234,3914.04,4062.42,Stockfish,Lc0
235,4209.8,4085.57,Lc0,Stockfish
236,1706.2,2206.6,Stockfish,NNUE
237,3860.55,3644.0,NNUE,Stockfish
238,2052.62,2674.75,Lc0,NNUE
239,4075.8,3747.14,NNUE,Lc0
240,2943.39,2973.9,Stockfish,Lc0
241,2964.78,2844.76,Lc0,Stockfish
242,2629.67,3182.94,Stockfish,NNUE
243,6658.96,6334.21,NNUE,Stockfish
244,2871.86,3069.57,Lc0,NNUE
245,2088.93,1198.21,NNUE,Lc0
246,4593.59,4662.31,Stockfish,Lc0
247,5567.14,5498.96,Lc0,Stockfish
248,1265.0,1762.95,Stockfish,NNUE
249,4612.79,4306.17,NNUE,Stockfish
250,5921.52,6428.17,Lc0,NNUE
251,3534.75,3190.84,NNUE,Lc0
252,2884.81,3315.68,Stockfish,Lc0
253,3849.23,3687.54,Lc0,Stockfish
254,3297.64,3668.32,Stockfish,NNUE
255,4402.46,4183.61,NNUE,Stockfish
256,2091.94,2687.12,Lc0,NNUE
257,2463.52,2359.85,NNUE,Lc0
258,5427.57,5691.82,Stockfish,Lc0
259,2252.48,1957.85,Lc0,Stockfish
260,2643.73,3297.2,Stockfish,NNUE
261,6873.81,6980.33,NNUE,Stockfish
262,3430.68,3931.68,Lc0,NNUE
263,5755.19,5549.05,NNUE,Lc0
264,2843.0,3107.49,Stockfish,Lc0
265,3193.22,3050.53,Lc0,Stockfish
266,2814.63,3338.58,Stockfish,NNUE
267,3789.96,3512.78,NNUE,Stockfish
268,3088.72,3641.89,Lc0,NNUE
269,3532.89,3212.12,NNUE,Lc0
270,3868.77,4046.0,Stockfish,Lc0
271,4675.21,4340.11,Lc0,Stockfish
272,3094.28,3634.0,Stockfish,NNUE
273,2127.54,1497.83,NNUE,Stockfish
274,3461.18,3993.71,Lc0,NNUE
275,4278.0,4056.67,NNUE,Lc0
276,3220.69,3395.98,Stockfish,Lc0
277,4646.45,4598.0,Lc0,Stockfish
278,363.57,1071.14,Stockfish,NNUE
279,3861.86,3616.1,NNUE,Stockfish
280,3100.39,3653.0,Lc0,NNUE
281,3867.61,3057.53,NNUE,Lc0
282,4134.45,4626.8,Stockfish,Lc0
283,2246.59,1951.42,Lc0,Stockfish
284,531.83,1359.67,Stockfish,NNUE
285,4432.28,4154.71,NNUE,Stockfish
286,4257.14,4689.24,Lc0,NNUE
287,3690.08,3401.57,NNUE,Lc0
288,4350.58,4457.22,Stockfish,Lc0
289,4621.64,4428.72,Lc0,Stockfish
290,4428.83,4848.83,Stockfish,NNUE
291,4531.17,4224.18,NNUE,Stockfish
292,4148.14,4615.76,Lc0,NNUE
293,4160.44,4220.06,NNUE,Lc0
294,4591.3,4927.2,Stockfish,Lc0
295,3391.73,3270.27,Lc0,Stockfish
296,4931.91,5174.14,Stockfish,NNUE
297,7057.26,6928.0,NNUE,Stockfish
298,3100.17,3654.11,Lc0,NNUE
299,2328.0,1918.26,NNUE,Lc0
